WorkerID,Type,Agent,Grammar,Stimulus,StimulusNum,Harm,Other Harm,Harmer,Other Harmer,Blame,responsible,other,police stop,conservative,police trust,police honest,police listen,police rights,political party,age,race,gender
57,Target,sheriff,Non-Agentive,Video footage shows teen shot after confrontation with county sheriff; sparks outrage,30,Teen,,Sheriff,,0,0,,,,,,,,,,,
57,Target,teacher,Non-Agentive,Criminal probe focuses on school where cop was shot after fight with teacher,2,Cop,,Teacher,,3,1,,,,,,,,,,,
57,Control,Control,Non-Agentive,Chicago superintendent assaulted after car accident with nurse,25,Superintendent,,,The driver of the other car.'},1,1,,,,,,,,,,,
57,Control,Control,Agentive,Father beats drunk driver after Cobb County crash,37,Driver,,Father,,1,3,,4,1,No,No,No,No,Democratic,18-24,Black,Woman
118,Control,Control,Non-Agentive,Chicago superintendent assaulted after car accident with nurse,25,Superintendent,,Nurse,,1,1,,,,,,,,,,,
118,Control,Control,Agentive,Teacher chokes nurse after violent dispute at local daycare,14,Nurse,,Teacher,,4,4,,,,,,,,,,,
118,Target,police chief,Non-Agentive,Fisherman killed in New Years Day shooting incident with police chief,12,Fisherman,,Police chief,,1,1,'It is hard to know if the fisherman deserved to get shot,,,,,,,,,,
118,Target,protesters,Agentive,Protesters shoot cops during Friday confrontation; dash cam footage to be released early next week,13,Cops,,Protesters,,4,4,,,,,,,,,,,
118,Target,security guard,Non-Agentive,Student shot and killed in controversial incident with campus security guard,44,Student,,Security guard,,1,1,,,,,,,,,,,
118,Control,Control,Agentive,Racist vandal targets Indigenous community leader in hate crime incident,23,Community leader,,Vandal,,0,0,,,,,,,,,,,
118,Control,Control,Non-Agentive,Local doctor accused of fertility fraud beaten during confrontation with patient,40,Doctor,,Patient,,2,2,,,,,,,,,,,
118,Control,Control,Agentive,Young mom stabs neighbor 17 times during road rage incident; community members express devastation,34,Neighbor,,Mom,,0,0,,,,,,,,,,,
118,Control,Control,Agentive,Cheating husband stabbed wife 36 times after fight,4,Wife,,Husband,,0,0,,,,,,,,,,,
118,Target,sheriff,Agentive,Video footage shows county sheriff shooting teen after confrontation; sparks outrage,17,Teen,,Sheriff,,1,0,,,,,,,,,,,
118,Target,teacher,Non-Agentive,Criminal probe focuses on school where cop was shot after fight with teacher,2,Cop,,Teacher,,3,3,,,,,,,,,,,
118,Target,club bouncer,Non-Agentive,State trooper killed during shootout with club bouncer outside popular bar,47,State trooper,,Club bouncer,,3,4,,,,,,,,,,,
118,Control,Control,Non-Agentive,Drunk driver beaten after Cobb County crash with father,11,Driver,,,Not sure,3,3,,,,,,,,,,,
118,Target,police officer,Agentive,Jacksonville police officer fatally shoots man during confrontation,26,Man,,Police officer,,1,1,,,,,,,,,,,
118,Target,protesters,Agentive,Protesters shoot officers during clash outside Texas church service,46,Officers,,Protesters,,3,3,,,,,,,,,,,
118,Control,Control,Non-Agentive,Restaurant owner of Italian pizza shop set on fire after shouting match with waiter,6,Owner,,Waiter,,3,3,,4,1,No,No,No,No,Democratic,25-34,White,Woman
